year,month,date,CO2,interpolatedCO2,trend,dataDays
2004,10,2004.7920,374.44,374.44,377.80,31
2004,11,2004.8750,375.93,375.93,378.13,27
2004,12,2004.9580,377.45,377.45,378.30,31
2005,1,2005.0420,378.47,378.47,378.21,31
2005,2,2005.1250,379.76,379.76,378.95,27
2005,3,2005.2080,381.14,381.14,379.63,27
2005,4,2005.2920,382.20,382.20,379.54,30
2005,5,2005.3750,382.47,382.47,379.33,31
2005,6,2005.4580,382.20,382.20,379.87,30
2005,7,2005.5420,380.78,380.78,380.17,30
2005,8,2005.6250,378.73,378.73,380.38,30
2005,9,2005.7080,376.66,376.66,379.98,30
2005,10,2005.7920,376.98,376.98,380.29,14
2005,11,2005.8750,378.29,378.29,380.47,24
2005,12,2005.9580,379.92,379.92,380.75,29
2006,1,2006.0420,381.35,381.35,381.11,26
2006,2,2006.1250,382.16,382.16,381.35,25
2006,3,2006.2080,382.66,382.66,381.11,30
2006,4,2006.2920,384.73,384.73,382.02,27
2006,5,2006.3750,384.98,384.98,381.82,29
2006,6,2006.4580,384.09,384.09,381.79,29
2006,7,2006.5420,382.38,382.38,381.82,27
2006,8,2006.6250,380.45,380.45,382.10,28
2006,9,2006.7080,378.92,378.92,382.22,29
2006,10,2006.7920,379.16,379.16,382.48,25
2006,11,2006.8750,380.18,380.18,382.38,30
2006,12,2006.9580,381.79,381.79,382.65,31
2007,1,2007.0420,382.93,382.93,382.74,23
2007,2,2007.1250,383.81,383.81,382.95,21
2007,3,2007.2080,384.56,384.56,382.92,31
2007,4,2007.2920,386.40,386.40,383.58,28
2007,5,2007.3750,386.58,386.58,383.34,31
2007,6,2007.4580,386.05,386.05,383.77,30
2007,7,2007.5420,384.49,384.49,383.99,31
2007,8,2007.6250,382.00,382.00,383.69,30
2007,9,2007.7080,380.90,380.90,384.25,25
2007,10,2007.7920,381.14,381.14,384.48,30
2007,11,2007.8750,382.42,382.42,384.64,30
2007,12,2007.9580,383.89,383.89,384.81,28
2008,1,2008.0420,385.44,385.44,385.26,31
2008,2,2008.1250,385.73,385.73,384.91,28
2008,3,2008.2080,385.97,385.97,384.40,30
2008,4,2008.2920,387.16,387.16,384.50,28
2008,5,2008.3750,388.50,388.50,385.38,26
2008,6,2008.4580,387.88,387.88,385.56,24
2008,7,2008.5420,386.43,386.43,385.87,10
2008,8,2008.6250,384.15,384.15,385.82,28
2008,9,2008.7080,383.09,383.09,386.34,30
2008,10,2008.7920,382.99,382.99,386.26,24
2008,11,2008.8750,384.13,384.13,386.32,29
2008,12,2008.9580,385.56,385.56,386.43,30
2009,1,2009.0420,386.94,386.94,386.66,31
2009,2,2009.1250,387.42,387.42,386.61,28
2009,3,2009.2080,388.77,388.77,387.30,30
2009,4,2009.2920,389.44,389.44,386.78,28
2009,5,2009.3750,390.19,390.19,387.02,31
2009,6,2009.4580,389.45,389.45,387.17,29
2009,7,2009.5420,387.78,387.78,387.31,30
2009,8,2009.6250,385.92,385.92,387.62,30
2009,9,2009.7080,384.79,384.79,388.03,27
2009,10,2009.7920,384.39,384.39,387.63,31
2009,11,2009.8750,386.00,386.00,388.16,30
2009,12,2009.9580,387.31,387.31,388.13,21
2010,1,2010.0420,388.50,388.50,388.23,28
2010,2,2010.1250,389.94,389.94,389.06,25
2010,3,2010.2080,391.09,391.09,389.60,28
2010,4,2010.2920,392.52,392.52,389.94,28
2010,5,2010.3750,393.04,393.04,389.86,30
2010,6,2010.4580,392.15,392.15,389.84,29
2010,7,2010.5420,390.22,390.22,389.75,31
2010,8,2010.6250,388.26,388.26,389.94,31
2010,9,2010.7080,386.83,386.83,390.09,30
2010,10,2010.7920,387.20,387.20,390.49,31
2010,11,2010.8750,388.65,388.65,390.79,30
2010,12,2010.9580,389.73,389.73,390.54,31
2011,1,2011.0420,391.25,391.25,390.97,29
2011,2,2011.125,391.82,391.82,390.96,28
2011,3,2011.208,392.49,392.49,390.99,30
2011,4,2011.292,393.34,393.34,390.69,28
2011,5,2011.375,394.21,394.21,390.97,31
2011,6,2011.458,393.72,393.72,391.38,28
2011,7,2011.542,392.42,392.42,391.96,31
2011,8,2011.625,390.19,390.19,391.88,29
2011,9,2011.708,389.04,389.04,392.34,28
2011,10,2011.792,388.96,388.96,392.3,31
2011,11,2011.875,390.24,390.24,392.42,29
2011,12,2011.958,391.83,391.83,392.64,30
2012,1,2012.042,393.12,393.12,392.86,30
2012,2,2012.125,393.60,393.60,392.81,27
2012,3,2012.208,394.45,394.45,392.97,31
2012,4,2012.292,396.18,396.18,393.5,30
2012,5,2012.375,396.78,396.78,393.54,31
2012,6,2012.458,395.83,395.83,393.5,28
2012,7,2012.542,394.30,394.30,393.86,29
2012,8,2012.625,392.41,392.41,394.17,31
2012,9,2012.708,391.06,391.06,394.34,29
2012,10,2012.792,391.01,391.01,394.28,30
2012,11,2012.875,392.81,392.81,394.94,29
2012,12,2012.958,394.28,394.28,395.05,30
2013,1,2013.042,395.54,395.54,395.28,31
2013,2,2013.125,396.80,396.80,396.01,28
2013,3,2013.208,397.31,397.31,395.84,30
2013,4,2013.292,398.35,398.35,395.66,26
2013,5,2013.375,399.76,399.76,396.52,31
2013,6,2013.458,398.58,398.58,396.26,27
2013,7,2013.542,397.20,397.20,396.76,28
2013,8,2013.625,395.15,395.15,396.9,31
2013,9,2013.708,393.51,393.51,396.79,28
2013,10,2013.792,393.66,393.66,396.93,30
2013,11,2013.875,395.11,395.11,397.24,30
2013,12,2013.958,396.81,396.81,397.58,31
2014,1,2014.042,397.80,397.80,397.53,31
2014,2,2014.125,397.91,397.91,397.12,27
2014,3,2014.208,399.58,399.58,398.1,28
2014,4,2014.292,401.29,401.29,398.61,30
2014,5,2014.375,401.78,401.78,398.54,24
2014,6,2014.458,401.15,401.15,398.82,30
2014,7,2014.542,399.00,399.00,398.56,31
2014,8,2014.625,397.01,397.01,398.77,25
2014,9,2014.708,395.26,395.26,398.54,29
2014,10,2014.792,395.93,395.93,399.2,26
2014,11,2014.875,397.13,397.13,399.26,28
2014,12,2014.958,398.78,398.78,399.55,30
2015,1,2015.042,399.96,399.96,399.7,30
2015,2,2015.125,400.26,400.26,399.48,27
2015,3,2015.208,401.52,401.52,400.04,24
2015,4,2015.292,403.26,403.26,400.57,27
2015,5,2015.375,403.94,403.94,400.7,30
2015,6,2015.458,402.80,402.80,400.47,28
2015,7,2015.542,401.30,401.30,400.87,23
2015,8,2015.625,398.82,398.82,400.57,29
